customer_id,name,email,country
bdcb6a4e-0745-4793-9323-6deb6854e9c8,Deborah Carter,james16@example.net,Brunei Darussalam
424f633b-b9c3-4676-bb00-486693060807,Marc Conley,john75@example.com,Cuba
a8f02a98-00bf-40ea-82fb-1e5ed09980e9,Misty Murray,gloria25@example.org,Ethiopia
396022e4-3874-46dc-9c10-eb6b904335d5,Matthew Miller,lroberts@example.com,Liberia
4f176699-2233-481e-bb33-43748be09999,Alexander Harris,hillandrew@example.net,Tanzania
3edfdd96-88b4-4f0c-990a-aee852b58433,Victoria Walker,nelsonsamuel@example.com,Lao People's Democratic Republic
6ab708da-e623-4833-b371-779872e456de,Sherry Walker,onealryan@example.net,Bosnia and Herzegovina
99b78f91-2795-473d-bd2e-41246dfb8948,Brandon Leach,angelajenkins@example.net,Mexico
62d8c6ac-c30e-423e-98a9-902542b6df5e,Kyle Jones,grivas@example.com,Malta
671bad16-41a9-4463-a6a2-81d48c90e525,Ronald Gibson,carla26@example.org,Sri Lanka
